Coder Name,Year,Category,Catalogue Number,Title,Advertiser,Product,Company,Country,Prize Description,Prize code,Video Name,Link to Asset,ID,Character ID,Asset Name,Character Name,Character Description,Character Prominence,Age,Age Specify,Character Sex,Character Gender,LGBTQ+,Animated Character,Animated Character - Specify,Race,Race Specify,Physical Disability,Cognitive Disability,Communication Disability,Activity,Tech,Setting,Vehicle,Shopping,Driving,Cleaning,Cooking,Working,Socializing,Nothing,EatingDrinking,Exercising,Other Activity,Activity Other Specify,Location,Kitchen,Office,Car,Store,Outdoors,Living Room,Restaurant/Bar,Gym,Bedroom,Bathroom,Sporting Event,Classroom/School,Other Setting,Other Setting Specify,Sexually Revealing Clothing,State of Nudity,State of Nudity Specify,Shown as Body Part,Verbally Sexual Objectification,Intelligence,Funny,Occupation Shown,Occupation,Leader,Authority,Body Type,Entry Type,Body Type Other,Disordered/Restrictive Eating,Self Injury,Negative Talk,Body Modification,Visual Shame,Verbal Shame,Sizeist slurs,Punchline,Denied Personal Opportunities,Denied Professional Opportunities,Other Prejudice,Other Prejudice Specify,Lazy,Slow,Stupid,Loser,Inactive,Poorly dressed,Character Funny,Jolly,Clumsy,Alone,Comic Relief,Sidekick,Mamma Hen,Nympho,Fat to Fit Stereotype,Inspiration porn,view_video,vatic_link,file_name,char_montage
,2008.0,A13,A13/018,JOY RIDE,SUBARU CANADA,SUBARU IMPREZA,DDB CANADA Toronto,CANADA,,0.0,2008_Film_A13_018_JOY RIDE_670,,670.0,3.0,,,,,6.0,,,,,,,1.0,,,,,10.0,10.0,driving,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,3.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A13_018_JOY RIDE_670.mp4,
,2008.0,A13,A13/018,JOY RIDE,SUBARU CANADA,SUBARU IMPREZA,DDB CANADA Toronto,CANADA,,0.0,2008_Film_A13_018_JOY RIDE_670,,670.0,4.0,,,,,6.0,,,,,,,1.0,,,,,10.0,10.0,working,10.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,3.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A13_018_JOY RIDE_670.mp4,
,2008.0,A19,A19/041,CHILI DOG,NATIONAL AQUARIUM IN BALTIMORE,NATIONAL AQUARIUM,GKV COMMUNICATIONS Baltimore,USA,,0.0,2008_Film_A19_041_CHILI DOG_699,,699.0,1.0,,,,,6.0,,,,,,,1.0,,,,,8.0,0.0,5.0,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A19_041_CHILI DOG_699.mp4,
,2008.0,A19,A19/041,CHILI DOG,NATIONAL AQUARIUM IN BALTIMORE,NATIONAL AQUARIUM,GKV COMMUNICATIONS Baltimore,USA,,0.0,2008_Film_A19_041_CHILI DOG_699,,699.0,0.0,,,,,6.0,,,,,,,1.0,,,,,8.0,0.0,5.0,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A19_041_CHILI DOG_699.mp4,
,2008.0,A03,A03/017,SKYTROOP,FOSTER'S GROUP,CARLTON DRAUGHT BEER,CLEMENGER BBDO MELBOURNE,AUSTRALIA,Bronze Lion,1.0,2008_Film_A03_017_SKYTROOP_758,,758.0,1.0,,,,,5.0,,,,,,,1.0,,,,,10.0,0.0,socializing,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A03_017_SKYTROOP_758.mp4,
,2008.0,A03,A03/017,SKYTROOP,FOSTER'S GROUP,CARLTON DRAUGHT BEER,CLEMENGER BBDO MELBOURNE,AUSTRALIA,Bronze Lion,1.0,2008_Film_A03_017_SKYTROOP_758,,758.0,0.0,,,,,5.0,,,,,,,1.0,,,,,10.0,0.0,socializing,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A03_017_SKYTROOP_758.mp4,
,2008.0,A03,A03/017,SKYTROOP,FOSTER'S GROUP,CARLTON DRAUGHT BEER,CLEMENGER BBDO MELBOURNE,AUSTRALIA,Bronze Lion,1.0,2008_Film_A03_017_SKYTROOP_758,,758.0,3.0,,,,,5.0,,,,,,,1.0,,,,,10.0,0.0,socializing,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A03_017_SKYTROOP_758.mp4,
,2008.0,A03,A03/017,SKYTROOP,FOSTER'S GROUP,CARLTON DRAUGHT BEER,CLEMENGER BBDO MELBOURNE,AUSTRALIA,Bronze Lion,1.0,2008_Film_A03_017_SKYTROOP_758,,758.0,2.0,,,,,5.0,,,,,,,1.0,,,,,10.0,0.0,socializing,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A03_017_SKYTROOP_758.mp4,
,2008.0,A03,A03/017,SKYTROOP,FOSTER'S GROUP,CARLTON DRAUGHT BEER,CLEMENGER BBDO MELBOURNE,AUSTRALIA,Bronze Lion,1.0,2008_Film_A03_017_SKYTROOP_758,,758.0,5.0,,,,,6.0,,,,,,,1.0,,,,,10.0,10.0,working,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A03_017_SKYTROOP_758.mp4,
,2008.0,A03,A03/017,SKYTROOP,FOSTER'S GROUP,CARLTON DRAUGHT BEER,CLEMENGER BBDO MELBOURNE,AUSTRALIA,Bronze Lion,1.0,2008_Film_A03_017_SKYTROOP_758,,758.0,4.0,,,,,5.0,,,,,,,1.0,,,,,10.0,10.0,shopping,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A03_017_SKYTROOP_758.mp4,
