Coder,Asset_Name,Brand,Lead_Country,Year_Produced,Year_Aired,Segment,Agency,Character_Name,Character_Description,Prominence,Animated,Animated Specify,Gender,Trans,Race,Race Other/Specify,API,Skin tone,Sexual Orientation,Queer,Age,Disabled,Disability Specify,Body Type,Shopping,Driving,Cleaning,Cooking,Working,Socializing,Nothing,EatingDrinking,Exercising,Other Activity,Activity Other Specify,Kitchen,Office,Car,Store,Outdoors,Living Room,Restaurant/Bar,Gym,Bedroom,Bathroom,Sporting Event,Classroom,Setting Other,Other Setting Specify,Revealing Clothing,Nudity,Visually Objectified,Verbally Objectified,Intelligent,Funny,Occupation,Leader,Authority,Q27a_Disordered_Eating,Q27b_Selfy_injury,Q27c_NegativeTalk,Q27d_Body_Modification,Q28a_Visual_Shame,Q28b_Verbal_Shame,Q28c_Sizeist_Slurs,Q28d_Punchline,Q28e_Denied_Personal_Opportunity,Q28f_Denied_Professional_Opportunity,Q28g_Other_Prejudice,Q28g_Prejudice_Other_Specify,Q29a_Lazy,Q29b_Physically_Slow,Q29c_Stupid,Q29d_Loser,Q29e_Inactive,Q29f_Poorly_Dressed,Q29g_Funny,Q29h_Jolly,Q29i_Clumsy,Q29j_Alone,Q30a_Comic_Relief,Q30b_Sidekick,Q30c_Mamma_Hen,Q30d_Nympho,Q31_Fat_to_Fit,Q32_Inspo_Porn,Q31_NOTES,Notes on Dwelling
Emma,Sunny City and Rural - Sunday V3,Cesar,United States,2020,2020,Petcare,BBDO,Dog Owner,On blanket with dog,2,0,,1,0,4,,999,999,1,0,4,0,,3,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Washboard,Cesar,United States,2020,2020,Petcare,BBDO,Owner,female on couch feeding Spencer (dog),2,0,,2,0,1,,999,999,1,0,4,0,,3,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Match (:20),Cesar,United Kingdom,2020,2020,Petcare,BBDO,Birthday Boy,light features,2,0,,1,0,1,,999,999,2,0,4,0,,3,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Sunny City - Sunday V2,Cesar,United States,2020,2020,Petcare,BBDO,Dog Owner,Woman running,2,0,,2,0,1,,999,999,1,0,4,0,,3,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Sunny City and Rural - Sunday V6,Cesar,United States,2020,2020,Petcare,BBDO,Man with dog,Purple t-shirt,2,0,,1,0,1,,999,999,1,0,4,0,,3,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Cloudy City and Rural - Wednesday and Saturday,Cesar,United States,2020,2020,Petcare,BBDO,Father,On couch,2,0,,1,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CEspinoza,Birthday,Cesar,United States,2020,2020,Petcare,BBDO,Waiter singing,Waiter singing,2,0,,1,0,4,,999,999,1,0,5,0,,3,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Sunny City and Rural - Sunday V2,Cesar,United States,2020,2020,Petcare,BBDO,Man with dog,Blue t-shirt,2,0,,1,0,1,,999,999,1,0,4,0,,2,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Cloudy City and Rural - Sunday V2,Cesar,United States,2020,2020,Petcare,BBDO,Woman washing dog,Brown t-shirt,2,0,,2,0,3,,888,999,1,0,6,0,,2,0,0,0,0,0,0,0,0,0,1,Grooming dog,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Champ Lanzamiento,Champ,Mexico,2020,2020,Petcare,BBDO,Brown Doodle,brown doodle dog,1,0,,1,0,999,,999,999,1,0,999,0,,999,0,0,0,0,0,1,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,,10,10,10,10,0,3,10,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
